bairro,alteracao_mensal,preco_m2,preco_medio
Cambuci,-0.01%,R$ 7.396,R$ 721.595
Cidade São Francisco,+0.38%,R$ 7.394,R$ 1.123.122
Chácara Santo Antônio Zona Leste,+0.49%,R$ 7.392,R$ 895.467
Vila Nair,-0.18%,R$ 7.366,R$ 750.642
Jardim Catanduva,+2.69%,R$ 7.315,R$ 1.277.529
Vila Sônia,+0.46%,R$ 7.306,R$ 1.135.763
Quarta Parada,+0.45%,R$ 7.302,R$ 767.274
Vila Dom Pedro II,+0.12%,R$ 7.297,R$ 724.814
Jardim Prudência,+0.63%,R$ 7.294,R$ 878.947
Jardim Taquaral,+0.96%,R$ 7.245,R$ 927.719
Alto do Pari,+0.83%,R$ 7.235,R$ 520.982
Vila Brasílio Machado,-0.01%,R$ 7.218,R$ 794.175
Jardim São Paulo Zona Norte,+0.34%,R$ 7.217,R$ 979.243
Sé,-0.72%,R$ 7.210,R$ 357.318
Parque da Mooca,+0.42%,R$ 7.207,R$ 1.267.687
Caxingui,+0.10%,R$ 7.182,R$ 1.272.503
Vila Andrade,+0.61%,R$ 7.128,R$ 858.897
Mooca,+0.13%,R$ 7.103,R$ 806.611
Campininha,+1.47%,R$ 7.092,R$ 599.238
Vila Paiva,+0.85%,R$ 7.049,R$ 736.323
Vila Bertioga,+0.11%,R$ 7.037,R$ 782.344
Parque Residencial Julia,+0.29%,R$ 7.007,R$ 619.287
Jardim Vazani,+1.14%,R$ 7.000,R$ 695.492
Brás,+0.30%,R$ 6.942,R$ 419.495
Vila São Francisco,+0.15%,R$ 6.898,R$ 1.021.675
Vila Paulista,+1.45%,R$ 6.893,R$ 588.298
Vila Deodoro,-0.33%,R$ 6.855,R$ 834.126
Chora Menino,+0.01%,R$ 6.846,R$ 687.759
Catumbi,+0.36%,R$ 6.825,R$ 635.113
Instituto de Previdência,+0.69%,R$ 6.823,R$ 1.161.319
Vila Prudente,+0.08%,R$ 6.809,R$ 729.443
Jardim Itapeva,+0.72%,R$ 6.796,R$ 588.109
Vila Maria,+0.33%,R$ 6.788,R$ 660.366
Vila Carioca,+0.15%,R$ 6.780,R$ 379.439
Vila Vera,-0.30%,R$ 6.760,R$ 595.949
Chácara Seis de Outubro,+0.69%,R$ 6.750,R$ 523.363
Jardim Lar São Paulo,+0.44%,R$ 6.750,R$ 912.378
Jardim Trussardi,+0.81%,R$ 6.730,R$ 831.670
Quinta da Paineira,+0.40%,R$ 6.716,R$ 531.340
Parada Inglesa,+0.87%,R$ 6.709,R$ 589.712
Carandiru,+0.50%,R$ 6.705,R$ 680.375
Vila Primavera,-0.40%,R$ 6.687,R$ 626.629
Jardim Avelino,+0.65%,R$ 6.684,R$ 1.245.219
Jardim Marajoara,+0.44%,R$ 6.674,R$ 1.406.935
Parque da Vila Prudente,+0.35%,R$ 6.673,R$ 937.140
Vila Monumento,-0.18%,R$ 6.673,R$ 923.586
